"anolancamento","titulooriginal","genero","notamedia","numerovotos"
"1994","The Shawshank Redemption","Drama","9.3","2667411"
"1999","Fight Club","Drama","8.8","2112926"
"2021","#Home","Drama","8.8","13406"
"1975","One Flew Over the Cuckoo's Nest","Drama","8.7","1005645"
"2020","Soorarai Pottru","Drama","8.7","116810"
"2018","Pariyerum Perumal","Drama","8.7","16322"
"2018","Peranbu","Drama","8.7","15159"
"2015","Bizim Hikaye","Drama","8.6","18093"
"1959","Apur Sansar","Drama","8.5","15014"
"1999","American Beauty","Drama","8.4","1153200"
