"titulooriginal","genero","anolancamento","notamedia","numerovotos"
"Stranger Things","Drama,Fantasy,Horror","2016","8.7","1178726"
"True Detective","Crime,Drama,Mystery","2014","8.9","570104"
"Better Call Saul","Crime,Drama","2015","8.9","524633"
"Daredevil","Action,Crime,Drama","2015","8.6","440701"
"Narcos","Biography,Crime,Drama","2015","8.8","421769"
"Mr. Robot","Crime,Drama,Thriller","2015","8.6","387558"
"Dark","Crime,Drama,Mystery","2017","8.7","384324"
"Fargo","Crime,Drama,Thriller","2014","8.9","373542"
"Aspirants","Drama","2021","9.2","297261"
"Mindhunter","Crime,Drama,Mystery","2017","8.6","288506"
